[07: 36: 49] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/manufacture/get_manufacture HTTP/1.1 [status]: 200 [response-time]: 12.525 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[08: 25: 46] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/add_plant_type HTTP/1.1 [status]: 200 [response-time]: 90.990 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[08: 25: 46] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/add_plant_type HTTP/1.1 [status]: 200 [response-time]: 112.952 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[08: 29: 09] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/add_plant_type HTTP/1.1 [status]: 200 [response-time]: 84.297 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[08: 35: 01] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/add_plant_type HTTP/1.1 [status]: 200 [response-time]: 108.634 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[08: 35: 01] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/update_plant_type HTTP/1.1 [status]: 200 [response-time]: 61.373 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[08: 35: 01] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/delete_plant_type HTTP/1.1 [status]: 200 [response-time]: 101.763 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[08: 35: 01] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/manufacture/get_plant_type HTTP/1.1 [status]: 200 [response-time]: 3.554 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[09: 45: 13] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/logistic/add_logistic HTTP/1.1 [status]: 200 [response-time]: 232.903 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[09: 46: 00] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/logistic/add_logistic HTTP/1.1 [status]: 200 [response-time]: 113.264 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[09: 46: 00] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/logistic/add_logistic HTTP/1.1 [status]: 200 [response-time]: 65.432 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[09: 49: 44] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/logistic/update_logistic HTTP/1.1 [status]: 200 [response-time]: 113.214 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[09: 49: 44] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/logistic/update_logistic HTTP/1.1 [status]: 200 [response-time]: 64.642 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[09: 49: 44] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/logistic/update_logistic HTTP/1.1 [status]: 200 [response-time]: 75.288 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[09: 49: 44] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/logistic/update_logistic HTTP/1.1 [status]: 200 [response-time]: 76.265 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
