[07: 22: 45] [ip]: ::ffff:192.168.0.110 - [method]: OPTIONS [url]: /api/v1/farmer/user_update_farmer HTTP/1.1 [status]: 200 [response-time]: 0.212 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[07: 22: 45] [ip]: ::ffff:192.168.0.110 - [method]: POST [url]: /api/v1/farmer/user_update_farmer HTTP/1.1 [status]: 200 [response-time]: 0.275 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[07: 22: 45] [ip]: ::ffff:192.168.0.110 - [method]: OPTIONS [url]: /api/v1/farmer/user_update_farmer HTTP/1.1 [status]: 200 [response-time]: 0.227 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[07: 22: 45] [ip]: ::ffff:192.168.0.110 - [method]: POST [url]: /api/v1/farmer/user_update_farmer HTTP/1.1 [status]: 200 [response-time]: 0.372 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[07: 22: 45] [ip]: ::ffff:192.168.0.129 - [method]: OPTIONS [url]: /api/v1/farmer/user_get_farmer HTTP/1.1 [status]: 200 [response-time]: 0.228 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[07: 22: 45] [ip]: ::ffff:192.168.0.129 - [method]: GET [url]: /api/v1/farmer/user_get_farmer HTTP/1.1 [status]: 304 [response-time]: 4.909 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[07: 22: 45] [ip]: ::1 - [method]: GET [url]: /api/v1/farmer/user_get_all_data HTTP/1.1 [status]: 200 [response-time]: 6.248 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[07: 22: 45] [ip]: ::1 - [method]: GET [url]: /api/v1/farmer/user_get_all_data HTTP/1.1 [status]: 200 [response-time]: 13.260 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[07: 26: 53] [ip]: ::1 - [method]: GET [url]: /api/v1/farmer/user_get_all_data HTTP/1.1 [status]: 200 [response-time]: 12.046 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[07: 26: 53] [ip]: ::ffff:192.168.0.110 - [method]: OPTIONS [url]: /api/v1/farmer/user_add_farmer HTTP/1.1 [status]: 200 [response-time]: 0.762 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
