[06: 47: 06] [ip]: ::ffff:192.168.0.115 - [method]: OPTIONS [url]: /api/v1/user/user_login HTTP/1.1 [status]: 200 [response-time]: 0.577 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 47: 06] [ip]: ::ffff:192.168.0.115 - [method]: POST [url]: /api/v1/user/user_login HTTP/1.1 [status]: 200 [response-time]: 135.113 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 47: 06] [ip]: ::ffff:192.168.0.127 - [method]: OPTIONS [url]: /api/v1/product/get_product HTTP/1.1 [status]: 200 [response-time]: 0.706 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 47: 06] [ip]: ::ffff:192.168.0.127 - [method]: OPTIONS [url]: /api/v1/plan/get_all_plan HTTP/1.1 [status]: 200 [response-time]: 0.482 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 47: 06] [ip]: ::ffff:192.168.0.127 - [method]: GET [url]: /api/v1/product/get_product HTTP/1.1 [status]: 304 [response-time]: 5.353 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 47: 06] [ip]: ::ffff:192.168.0.127 - [method]: GET [url]: /api/v1/plan/get_all_plan HTTP/1.1 [status]: 304 [response-time]: 25.232 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 47: 06] [ip]: ::ffff:192.168.0.127 - [method]: GET [url]: /api/v1/plan/image/plan-6.png HTTP/1.1 [status]: 304 [response-time]: 13.987 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 47: 06] [ip]: ::ffff:192.168.0.127 - [method]: GET [url]: /api/v1/plan/image/plan-7.png HTTP/1.1 [status]: 304 [response-time]: 27.720 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 47: 06] [ip]: ::ffff:192.168.0.127 - [method]: GET [url]: /api/v1/plan/image/plan-8.png HTTP/1.1 [status]: 304 [response-time]: 26.463 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 47: 06] [ip]: ::ffff:192.168.0.127 - [method]: GET [url]: /api/v1/plan/image/plan-9.png HTTP/1.1 [status]: 304 [response-time]: 37.397 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 47: 06] [ip]: ::ffff:192.168.0.127 - [method]: GET [url]: /api/v1/plan/image/plan-10.png HTTP/1.1 [status]: 304 [response-time]: 48.379 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 47: 06] [ip]: ::ffff:192.168.0.127 - [method]: OPTIONS [url]: /api/v1/researcher/get_researcher HTTP/1.1 [status]: 200 [response-time]: 0.489 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 47: 06] [ip]: ::ffff:192.168.0.127 - [method]: GET [url]: /api/v1/researcher/get_researcher HTTP/1.1 [status]: 304 [response-time]: 5.727 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
