[09: 02: 19] [ip]: ::ffff:192.168.1.15 - [method]: POST [url]: /api/v1/user/user_login HTTP/1.1 [status]: 200 [response-time]: 155.258 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[09: 02: 19] [ip]: ::ffff:192.168.1.15 - [method]: OPTIONS [url]: /api/v1/graph/get_tab_chart HTTP/1.1 [status]: 200 [response-time]: 0.184 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[09: 02: 19] [ip]: ::ffff:192.168.1.15 - [method]: GET [url]: /api/v1/graph/get_tab_chart HTTP/1.1 [status]: 304 [response-time]: 36.965 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[09: 02: 19] [ip]: ::ffff:192.168.1.15 - [method]: OPTIONS [url]: /api/v1/graph/get_tab_chart HTTP/1.1 [status]: 200 [response-time]: 0.237 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[09: 02: 19] [ip]: ::ffff:192.168.1.15 - [method]: GET [url]: /api/v1/graph/get_tab_chart HTTP/1.1 [status]: 304 [response-time]: 78.403 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[09: 02: 19] [ip]: ::ffff:192.168.1.15 - [method]: OPTIONS [url]: /api/v1/graph/get_tab_chart HTTP/1.1 [status]: 200 [response-time]: 0.298 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[09: 02: 19] [ip]: ::ffff:192.168.1.15 - [method]: GET [url]: /api/v1/graph/get_tab_chart HTTP/1.1 [status]: 304 [response-time]: 68.719 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[09: 02: 19] [ip]: ::ffff:192.168.1.15 - [method]: OPTIONS [url]: /api/v1/graph/get_tab_chart HTTP/1.1 [status]: 200 [response-time]: 0.253 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[09: 02: 19] [ip]: ::ffff:192.168.1.15 - [method]: GET [url]: /api/v1/graph/get_tab_chart HTTP/1.1 [status]: 304 [response-time]: 40.557 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[09: 02: 19] [ip]: ::ffff:192.168.1.15 - [method]: OPTIONS [url]: /api/v1/graph/get_chart_logistic HTTP/1.1 [status]: 200 [response-time]: 0.426 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[09: 02: 19] [ip]: ::ffff:192.168.1.15 - [method]: POST [url]: /api/v1/graph/get_chart_logistic HTTP/1.1 [status]: 200 [response-time]: 53.206 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[09: 02: 19] [ip]: ::ffff:192.168.1.15 - [method]: OPTIONS [url]: /api/v1/graph/get_tab_chart HTTP/1.1 [status]: 200 [response-time]: 0.316 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[09: 02: 19] [ip]: ::ffff:192.168.1.15 - [method]: GET [url]: /api/v1/graph/get_tab_chart HTTP/1.1 [status]: 304 [response-time]: 26.733 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[09: 02: 19] [ip]: ::ffff:192.168.1.15 - [method]: OPTIONS [url]: /api/v1/graph/get_chart_logistic HTTP/1.1 [status]: 200 [response-time]: 1.802 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[09: 02: 19] [ip]: ::ffff:192.168.1.15 - [method]: POST [url]: /api/v1/graph/get_chart_logistic HTTP/1.1 [status]: 200 [response-time]: 43.848 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
