[11: 40: 32] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/get_plan_chart HTTP/1.1 [status]: 200 [response-time]: 19.171 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[11: 41: 03] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/get_plan_chart HTTP/1.1 [status]: 200 [response-time]: 20.402 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[11: 41: 03] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/get_plan_chart HTTP/1.1 [status]: 200 [response-time]: 5.485 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[11: 41: 03] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/get_plan_chart HTTP/1.1 [status]: 200 [response-time]: 7.723 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[11: 41: 03] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/get_plan_chart HTTP/1.1 [status]: 200 [response-time]: 8.254 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[11: 46: 29] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/get_plan_chart HTTP/1.1 [status]: 200 [response-time]: 16.505 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[11: 53: 17] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/get_plan_chart HTTP/1.1 [status]: - [response-time]: - ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[11: 56: 42] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/get_plan_chart HTTP/1.1 [status]: 200 [response-time]: 18.190 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[11: 57: 24] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/get_plan_chart HTTP/1.1 [status]: 200 [response-time]: 30.423 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[11: 58: 28] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/get_plan_chart HTTP/1.1 [status]: 200 [response-time]: 20.012 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[11: 58: 28] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/get_plan_chart HTTP/1.1 [status]: 200 [response-time]: 95.422 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[11: 59: 27] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/get_plan_chart HTTP/1.1 [status]: 200 [response-time]: 21.249 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
